ARK	200	214	214$c	700	300$a
ark:/12148/cb46984156c	 $a Lover next door $b Texte imprimé $f Marie Hayle	 $a Paris $c Luv $d DL 2022¤ $a impr. en République tchèque	Luv	 $3 17958857 $o ISNI0000000502957700 $a Hayle $b Marie $f 1976-.... $4 070	
ark:/12148/cb46995096s	 $a Le tambour cheval $b Texte imprimé $f Bruno Sibona	 $a Paris $c PhB éditions $d DL 2022¤ $a 31-Bruguières $c Evoluprint	PhB éditions¤Evoluprint	 $3 15057318 $o ISNI0000000054252589 $a Sibona $b Bruno $4 070	
ark:/12148/cb469867466	 $a Imprévisible boss $b Texte imprimé $f Eugénie Dielens	 $a Paris $c Luv $d DL 2022¤ $a impr. en République tchèque	Luv	 $3 17964847 $o ISNI0000000503720414 $a Dielens $b Eugénie $f 2002-.... $4 070	
ark:/12148/cb469925864	 $a Sept instructions aux frères en Saint-Jean $b Texte imprimé	 $a Busloup $c le Moulin de l'étoile¤ $d C 2022¤ $a 41-Blois $c Impr. ISF	le Moulin de l'étoile¤Impr. ISF		
ark:/12148/cb469592865	 $a Sur la plantation, je suis l'empoisonneuse $b Texte imprimé $e 2017-2020 $f Amandine Nana	 $a Paris $c Éditions Transplantation $d cop. 2021	Éditions Transplantation	 $3 18023783 $o ISNI0000000507306464 $a Nana $b Amandine $f 1998-.... $4 070	
ark:/12148/cb47064986p	 $a Éther $h N° 2 $i Poèmes, 1972-2008 $b Texte imprimé $f Jean Claude Gabillet,...	 $a [Montclar] $c Jean-Claude Gabillet $d 2021	Jean-Claude Gabillet	 $3 14608266 $o ISNI0000000001050924 $a Gabillet $b Jean-Claude $f 1957-.... $4 070	
ark:/12148/cb46978797c	 $a Et la vie gagne $b Texte imprimé $f Raymond Boutin	 $a Matoury $c Ibis rouge éditions $d DL 2021	Ibis rouge éditions	 $3 12657418 $o ISNI0000000114772616 $a Boutin $b Raymond $f 1945-.... $4 070	
ark:/12148/cb469619375	 $a Clapotis $b Texte imprimé $e haïkus $f Alain Michaud	 $a Mary $c Jumo édition $d 2017	Jumo édition	 $3 13749761 $o ISNI000000000297976X $a Michaud $b Alain $f 1956-.... $4 070	
ark:/12148/cb46942297x	 $a Évolutions $b Texte imprimé $e nouvelles de l'homme de demain $f Jocelyn Witz	 $a Vienne $c N'co éditions $d 2021	N'co éditions	 $3 18016290 $a Witz $b Jocelyn $4 070	
ark:/12148/cb46980037v	 $a Le jour du monde $b Texte imprimé $f Marie Tuyet	 $a Orange $c la Nouvelle Pléiade $d DL 2022¤ $a 64-Orthez $c Impr. ICN	la Nouvelle Pléiade¤Impr. ICN	 $3 17762985 $o ISNI0000000468796404 $a Tuyet $b Marie $f 1966-.... $4 070	
